seed,knot_count,rule_detections,baseline_detections,rule_precision,rule_recall,rule_f1,rule_mean_iou,baseline_precision,baseline_recall,baseline_f1,baseline_mean_iou
1,4,3,1,1.0,0.75,0.8571428571428571,0.8582361824496432,1.0,0.25,0.4,0.8267195767195767
2,5,4,1,1.0,0.8,0.888888888888889,0.7500591399114961,1.0,0.2,0.33333333333333337,0.4576923076923077
3,3,3,1,1.0,1.0,1.0,0.8920404368644009,1.0,0.3333333333333333,0.5,0.8823529411764706
4,4,4,2,1.0,1.0,1.0,0.8712060179367354,1.0,0.5,0.6666666666666666,0.8423867154517309
5,5,5,2,1.0,1.0,1.0,0.8633157584830906,1.0,0.4,0.5714285714285715,0.8474810213940649
6,3,3,1,1.0,1.0,1.0,0.8604768394450933,1.0,0.3333333333333333,0.5,0.8387445887445888
7,4,4,5,1.0,1.0,1.0,0.8502708397251741,0.8,1.0,0.888888888888889,0.8432143881122709
8,5,5,3,1.0,1.0,1.0,0.8438196502545778,1.0,0.6,0.7499999999999999,0.8384124537350344
9,3,3,2,1.0,1.0,1.0,0.882225370448367,1.0,0.6666666666666666,0.8,0.8720582717139389
10,4,4,4,1.0,1.0,1.0,0.849006857223176,1.0,1.0,1.0,0.8426937259100447
11,5,5,0,1.0,1.0,1.0,0.8392838017595041,0.0,0.0,0.0,0.0
12,3,1,1,1.0,0.3333333333333333,0.5,0.7980295566502463,1.0,0.3333333333333333,0.5,0.7705112960760999
13,4,4,3,1.0,1.0,1.0,0.8488414861035578,1.0,0.75,0.8571428571428571,0.8448321263989467
14,5,5,3,1.0,1.0,1.0,0.8680948835898746,1.0,0.6,0.7499999999999999,0.854485384985385
15,3,3,2,1.0,1.0,1.0,0.8348180214846881,1.0,0.6666666666666666,0.8,0.8062231510507372
16,4,4,1,1.0,1.0,1.0,0.8501818834419516,1.0,0.25,0.4,0.8013468013468014
17,5,5,1,1.0,1.0,1.0,0.8514716331210888,1.0,0.2,0.33333333333333337,0.8861538461538462
18,3,3,1,1.0,1.0,1.0,0.8590949214935016,1.0,0.3333333333333333,0.5,0.8555555555555555
19,4,3,2,1.0,0.75,0.8571428571428571,0.8719821248047054,1.0,0.5,0.6666666666666666,0.8695116487455197
20,5,5,3,1.0,1.0,1.0,0.8633830271188611,1.0,0.6,0.7499999999999999,0.8504746347378435
21,3,3,2,1.0,1.0,1.0,0.8314433819504813,1.0,0.6666666666666666,0.8,0.83932193567082
22,4,3,3,1.0,0.75,0.8571428571428571,0.6846636329729883,1.0,0.75,0.8571428571428571,0.6751196080593648
23,5,5,4,1.0,1.0,1.0,0.8622178673841077,1.0,0.8,0.888888888888889,0.8559469374047379
24,3,2,0,1.0,0.6666666666666666,0.8,0.8658976491488807,0.0,0.0,0.0,0.0
